0	14	0	14	0	1000	0	2000	0	4000
1	236	0	57	134	1000	58	2000	45	4000
1	237	0	60						
1	265	0	230						
1	464	0	453						
1	466	0	946						
1	470	0	1104						
1	474	0	1105						
1	794	0	1441						
1	1500	0	1444						
1	1526	0	1446						
1	1538	0	1447						
1	1541	0	1448						
1	1543	0	1451						
1	1544	0	1455						
1	2554	0	1456						
1	2959	1	1457						
1	2961	1	1458						
1	2964	1	1459						
1	2967	1	1468						
1	2970	1	1471						
2	2972	1	1472						
2	2973	1	1475						
2	2974	1	1478						
2	2975	1	1483						
2	2976	1	1488						
2	5058	1	1489						
2	5062	1	1492						
2	5063	1	1494						
3	5067	1	1496						
3	5068	1	1606						
3	5069	1	1610						
3	5070	1	1615						
3	5105	1	1616						
3	5106	1	1619						
3	5107	1	1620						
3	5109	1	1623						
4	5110	1	1624						
4	5111	1	1627						
4	5113	1	2902						
4	5120	1	2905						
4	5123	2	2907						
4	5125	2	2909						
5	5126	2	2910						
5	5130	2	2912						
5	5131	2	2916						
5	5135	2	2917						
5	5140	2	2918						
5	5143	2	2922						
5	5147	2	2942						
5	5148	2	2944						
5	5151	2	2949						
5	5154	2	2950						
5	5155	2	2951						
6	5156	2	2953						
6	5157	2	2954						
6	5159	3	2958						
6	5806	3	2963						
6	5807	3	2970						
7	631	3	2972						
7	632	3	2975						
7	635	3	2976						
7	638	3	2979						
7	643	3	2981						
7	647	3	2983						
7	648	3	2986						
7	649	3	2987						
7	651	3	2988						
7	657	3	2990						
7	658	3	2994						
7	664	4	2995						
7	665	4	2997						
7	671	4	2998						
7	672	4	2999						
7	674	4	3000						
7	678	4	3001						
7	682	4	3005						
7	688	4	3006						
7	691	4	3007						
7	693	4	3009						
7	695	4	3010						
7	697	4	3015						
7	699	4	3020						
7	704	4	3021						
7	705	5	3023						
7	708	5	3026						
7	712	5	3027						
7	716	5	3029						
7	718	5	3031						
7	721	5	3033						
7	724	5	3036						
7	727	5	3041						
7	731	5	3042						
7	734	5	3043						
7	735	6	3044						
7	736	6	3048						
7	738	6	3052						
7	739	6	3057						
7	744	6	3058						
7	745	6	3059						
7	748	6	3060						
8	756	6	3061						
8	758	6	3063						
8	764	6	3069						
8	768	7	3070						
8	772	7	3072						
8	773	7	3074						
8	781	7	3076						
8	783	7	3077						
8	790	7	3082						
8	792	7	3083						
8	799	7	3085						
8	802	7	3086						
8	803	7	3087						
8	804	7	3093						
8	806	8	3095						
8	807	8	3097						
8	813	8	3104						
8	815	8	3106						
8	817	9	3109						
8	819	9	3112						
8	821	9	3113						
8	823	9	3120						
8	824	9	3122						
8	825	9	3128						
8	828	9	3131						
8	835	9	3132						
8	837	9	3134						
8	838	9	3137						
8	841	10	3138						
8	844	10	3141						
8	847	10	3144						
8	851	10	3148						
8	854	10	3150						
8	858	10	3164						
8	860	10	3165						
8	864	10	3171						
8	866	10	3176						
8	867	10	3178						
8	868	10	3179						
8	869	10	3182						
8	871	10	3185						
8	872	10	3186						
8	876	10	3187						
8	877	11	3189						
8	881	11	3219						
9	886	11	3223						
9	887	11	3226						
9	891	11	3230						
9	893	11	3233						
9	897	11	3234						
9	903	11	3235						
9	905	11	3236						
9	909	11	3237						
9	913	11	3238						
9	916	12	3241						
9	922	12	3244						
9	923	12	3245						
9	924	12	3246						
9	928	12	3249						
9	930	12	3254						
9	934	13	3255						
9	941	13	3257						
9	946	13	3259						
9	948	13	3261						
9	949	14	3263						
9	951	14	3264						
9	953	14	3504						
9	958	14	3509						
9	960	14	3510						
9	965	14	3511						
9	969	14	3515						
9	971	15	3521						
9	974	15	3522						
9	975	15	3523						
9	977	15	3524						
9	982	15	3525						
9	990	15	3526						
9	994	15	3530						
9	1001	15	3531						
9	1008	15	3537						
9	1012	15	3539						
9	1015	15	3541						
9	1017	15	3543						
9	1019	16	3548						
9	1020	16	3549						
9	1024	16	3550						
9	1027	16	3552						
9	1043	16	3553						
9	1112	16	3554						
9	1113	16	3555						
9	1114	16	3556						
9	1115	16	3558						
9	1117	16	3560						
9	1118	16	3563						
9	1120	17	3567						
9	1125	17	3568						
9	1126	17	3573						
9	1131	17	3575						
9	1132	17	3581						
9	1134	17	3582						
9	1135	17	3585						
10	1136	17	3587						
10	1138	17	3591						
10	1139	17	3592						
10	1140	17	3593						
10	1141	17	3595						
10	1142	18	3597						
10	1143	18	3625						
10	1144	19	3629						
10	1148	19	3631						
10	1150	19	3632						
10	1152	19	3634						
10	1157	19	3636						
10	1159	19	3638						
10	1160	20	3640						
10	1163	20	3641						
10	1165	20	3643						
10	1166	20	3646						
10	1170	20	3647						
10	1172	20	3649						
10	1174	21	3650						
10	1176	21	3651						
10	1178	21	3655						
10	1184	21	3660						
10	1185	21	3661						
10	1188	21	3666						
10	1189	21	3668						
10	1193	21	3669						
10	1195	21	3671						
10	1196	21	3673						
10	1197	21	3674						
10	1198	22	3675						
10	1199	22	3677						
10	1200	22	3680						
10	1201	22	3682						
10	1202	22	3683						
10	1203	22	3684						
10	1220	23	3685						
10	1221	23	3690						
10	1224	23	3692						
11	1225	23	3693						
11	1226	24	18						
11	1227	24	22						
11	1229	24	27						
11	1232	24	28						
11	1233	24	31						
11	1234	24	37						
11	1235	24	43						
11	1239	24	44						
11	1243	24	47						
11	1249	24	50						
11	1250	24	59						
11	1253	24	65						
11	1255	24	70						
11	1260	24	76						
11	1262	24	80						
11	1264	24	82						
11	1265	24	84						
11	1266	24	88						
11	1267	24	91						
11	1273	24	92						
11	1274	24	96						
11	1275	24	154						
11	1285	24	159						
12	19	24	162						
