5	1.04887E+13	1	6.49495E+13	6.5052E+13	6.49386E+13	6.51371E+13
13	1.81239E+12	2	5.92686E+13	5.93825E+13	5.90112E+13	5.91157E+13
20	3.58606E+11	3	5.65205E+13	5.64205E+13	5.57366E+13	5.57554E+13
28	71050591510	4	5.36212E+13	5.35031E+13	5.20993E+13	5.23068E+13
34	18675438068	5	5.00319E+13	4.99105E+13	4.77697E+13	4.76246E+13
37	9600129214	7	4.60931E+13	4.59958E+13	4.40225E+13	4.40446E+13
38	7554009874	8	4.28829E+13	4.29969E+13	4.03828E+13	4.08677E+13
38	4639305661	9	3.91E+13	3.74105E+13	2.39998E+13	2.36896E+13
38	3059682519	10	1.9931E+13	2.84429E+13	5.9919E+11	5.7612E+12
38	1932372068	11	4.28849E+11	7.14148E+11	126984079	159033050
38	1683226053	12	82322166	75863090	4809887	5500857
38	1238178824	13	6360246	5457621	1767696	2033333
38	1197976531	14	4702428	4910712	12386	33676
38	958008605	15	3164646	3464146	1	1
39	878242688	16	3979585	3558156		
39	749618035	17	2551644	3534548		
39	715484313	18	1457202	3350916		
39	601300850	19	1098191	1754591		
39	571473417	20	550715	970480		
39	492801974	21	1005212	437355		
39	479415190	23	499627	707974		
39	410024365	24	342197	442049		
39	373358998	25	393901	465741		
39	296751948	26	556176	338506		
39	295040832	27	331713	272121		
40	239164355	28	187085	1		
40	230760807	29	1			
40	172238208					
40	175631807					
40	116750254					
40	118510875					
40	77766644					
40	74423969					
40	26050903					
40	51571666					
40	23884687					
40	43672840					
41	20286934					
41	41026828					
41	14521753					
41	32468222					
41	11506246					
41	30110065					
41	9228147					
41	27717676					
41	8827839					
41	27269514					
41	8005473					
42	25149365					
42	6999310					
42	25512193					
42	6196714					
42	22158334					
42	4910410					
42	13970487					
42	5176057					
42	14427605					
42	4847225					
42	12059929					
42	5249247					
43	11839315					
43	4539549					
43	11481758					
43	5099385					
43	9137863					
43	4457365					
43	5202326					
43	3249085					
43	3071432					
43	3062523					
43	3240021					
44	3647916					
44	3256827					
44	3715344					
44	2858420					
44	3115174					
44	3699699					
44	3164215					
44	3506391					
44	3036181					
44	2972935					
44	3284425					
44	3049338					
45	3113077					
45	3223997					
45	2844573					
45	3064323					
45	2988202					
45	2924383					
45	2846485					
45	2592333					
45	2739944					
45	2366823					
45	2439511					
45	2453440					
46	2166581					
46	2273570					
46	2222687					
46	2599066					
46	3068461					
46	2936207					
46	2859019					
46	2703685					
46	2263520					
46	2614262					
46	2591655					
46	2429021					
47	2507905					
47	2306210					
47	2444495					
47	2295071					
47	2430238					
47	2429908					
47	2160453					
47	2296159					
47	1951179					
47	1770382					
47	2043166					
48	1872059					
48	2204606					
48	1947133					
48	2109639					
48	2315450					
48	2876694					
48	2475907					
48	2470881					
48	2011083					
48	2159255					
48	2124033					
49	2419187					
49	2858458					
49	2718014					
49	2381966					
49	2585579					
49	2669983					
49	2840924					
49	3012149					
49	2485226					
49	2152356					
49	2259782					
49	1949311					
50	2114803					
50	1996092					
50	2334802					
50	2511375					
50	2487734					
50	2436212					
50	2361762					
50	2065112					
50	2124826					
50	1924324					
50	1783960					
50	2066152					
51	1712612					
51	2127202					
51	1956755					
51	1971777					
51	2219573					
51	1626771					
51	1974636					
51	1904054					
51	1779890					
51	1760320					
51	1190789					
51	1873697					
52	2327710					
52	2188655					
52	1985274					
52	1723019					
52	1821348					
52	2132679					
52	2208052					
52	2325982					
52	1984449					
52	1924434					
52	1658637					
52	1246016					
53	1641507					
53	1275730					
53	1513586					
53	2054213					
53	1690683					
53	1737251					
53	1865262					
53	1735870					
53	1847683					
53	1612378					
53	1880776					
53	1531294					
54	1227319					
54	1354672					
54	1282804					
54	1497411					
54	1515993					
54	1302459					
54	1176813					
54	1218345					
54	1452039					
54	1796357					
54	1534419					
54	1766896					
55	1951658					
55	1525883					
55	2117500					
55	1636580					
55	1601726					
55	1379549					
55	1358171					
55	1355279					
55	1650606					
55	1494899					
55	1454302					
56	1316331					
56	1297952					
56	1576300					
56	1880595					
56	1484939					
56	1221239					
56	1172262					
56	1177726					
56	1159414					
56	1205632					
56	1301240					
56	1361500					
56	1157853					
57	1299123					
57	989122					
57	960913					
57	1013187					
57	880185					
57	874378					
57	876309					
57	705626					
57	856364					
57	850383					
57	990098					
58	806722					
58	860763					
58	903786					
58	793584					
58	678936					
58	605574					
58	581610					
58	760390					
58	803954					
58	993838					
58	797422					
58	784167					
59	660181					
59	509061					
59	535932					
59	516782					
59	762234					
59	565995					
59	557284					
59	530458					
59	519789					
59	661270					
59	738040					
59	987913					
60	1084213					
60	983871					
60	664928					
60	496669					
60	379959					
60	514448					
60	512299					
60	547751					
60	520488					
60	722265					
60	831604					
60	864571					
61	669460					
61	433541					
61	437417					
61	417923					
61	522488					
61	436597					
61	428599					
61	668985					
61	893289					
61	823127					
61	824269					
61	679501					
62	663443					
62	515024					
62	499722					
62	520584					
62	605831					
62	865469					
62	824335					
62	781084					
62	739334					
62	824481					
62	832019					
62	849415					
63	692820					
63	676249					
63	654878					
63	597087					
63	479885					
63	504191					
63	563953					
63	520340					
63	478590					
63	723533					
63	849440					
63	811543					
64	612555					
64	389615					
64	493958					
64	406095					
64	325839					
64	359716					
64	429538					
64	537792					
64	572651					
64	633987					
64	516515					
64	486793					
64	396576					
65	416746					
65	525269					
65	464489					
65	515801					
65	685960					
65	812510					
65	812779					
65	607674					
65	875248					
65	722351					
65	768156					
65	621292					
66	666836					
66	607678					
66	600775					
66	725350					
66	461013					
66	493419					
66	534677					
66	476363					
66	544038					
66	552483					
